201907221720,852,遵义,正安县,68125.12
201907221830,852,遵义,正安县,66511.03
201907221845,852,遵义,正安县,65900.31
201907230135,852,遵义,正安县,31665.28
201907230230,852,遵义,正安县,19379.94
201907230325,852,遵义,正安县,15102.77
201907231015,852,遵义,正安县,54874.07
201907231240,852,遵义,正安县,77638.79
201907231515,852,遵义,正安县,72158.82
201907231850,852,遵义,正安县,74905.90
201907232150,852,遵义,正安县,105991.86
201907241850,852,遵义,正安县,72070.58
201907250820,852,遵义,正安县,43784.75
201907251000,852,遵义,正安县,63209.63
201907251115,852,遵义,正安县,68494.43
201907251505,852,遵义,正安县,71261.73
201907251555,852,遵义,正安县,70874.99
201907252035,852,遵义,正安县,84593.87
201907252155,852,遵义,正安县,101580.32
201907260240,852,遵义,正安县,17327.81
201907260750,852,遵义,正安县,41616.05
201907261605,852,遵义,正安县,228716.84
201907261615,852,遵义,正安县,230095.28
201907261755,852,遵义,正安县,219859.78
201907271105,852,遵义,正安县,206128.06
201907271305,852,遵义,正安县,237666.03
201907271315,852,遵义,正安县,241567.57
201907272000,852,遵义,正安县,233580.53
201907272055,852,遵义,正安县,286443.10
201907272255,852,遵义,正安县,294916.39
201907280335,852,遵义,正安县,36674.02
201907280950,852,遵义,正安县,189987.52
201907281810,852,遵义,正安县,214364.63
201907281935,852,遵义,正安县,206560.35
201907282000,852,遵义,正安县,210451.13
201907282005,852,遵义,正安县,215750.15
201907282015,852,遵义,正安县,221452.26
201907282025,852,遵义,正安县,232625.80
201907282040,852,遵义,正安县,244067.04
201907282110,852,遵义,正安县,272124.07
201907282305,852,遵义,正安县,263955.99
201907291255,852,遵义,正安县,239487.39
201907291530,852,遵义,正安县,188174.64
201907291540,852,遵义,正安县,177348.95
201907291630,852,遵义,正安县,180310.29
201907291710,852,遵义,正安县,183404.60
201907291815,852,遵义,正安县,181099.94
201907292000,852,遵义,正安县,210796.29
201907292115,852,遵义,正安县,267409.30
201907300240,852,遵义,正安县,40372.24
201907300430,852,遵义,正安县,21610.26
201907300505,852,遵义,正安县,21565.41
201907300910,852,遵义,正安县,165777.32
201907301150,852,遵义,正安县,204762.58
201907301640,852,遵义,正安县,207455.80
201907301725,852,遵义,正安县,178130.27
201907302000,852,遵义,正安县,211288.38
201907302320,852,遵义,正安县,199351.88
201907310015,852,遵义,正安县,142965.06
201907310250,852,遵义,正安县,34220.77
201907310920,852,遵义,正安县,154812.18
201907311225,852,遵义,正安县,230231.01
201907311315,852,遵义,正安县,228312.45
201907311600,852,遵义,正安县,204227.27
201907312110,852,遵义,正安县,267784.12
201908011030,852,遵义,正安县,207194.75
201908011245,852,遵义,正安县,258059.27
201908011805,852,遵义,正安县,218105.67
201908011825,852,遵义,正安县,220996.86
201908011940,852,遵义,正安县,232317.38
201908012015,852,遵义,正安县,261306.71
201908012150,852,遵义,正安县,318019.79
201908012205,852,遵义,正安县,315988.68
201908012300,852,遵义,正安县,282421.32
201908020150,852,遵义,正安县,67708.70
201908020220,852,遵义,正安县,53732.97
201908020735,852,遵义,正安县,117148.44
201908021100,852,遵义,正安县,206431.04
201908021115,852,遵义,正安县,210032.24
201908021140,852,遵义,正安县,213195.93
201908021225,852,遵义,正安县,221805.12
201908021230,852,遵义,正安县,235472.07
201908021330,852,遵义,正安县,235591.27
201908021610,852,遵义,正安县,222989.36
201908021740,852,遵义,正安县,206642.11
201908021900,852,遵义,正安县,229189.68
201908021905,852,遵义,正安县,236236.83
201908022050,852,遵义,正安县,306154.37
201908022140,852,遵义,正安县,324878.49
201908030010,852,遵义,正安县,174855.32
201908030320,852,遵义,正安县,35208.90
201908030840,852,遵义,正安县,156274.43
201908031335,852,遵义,正安县,228785.62
201908031720,852,遵义,正安县,216667.75
201908032330,852,遵义,正安县,225951.66
201908040145,852,遵义,正安县,76560.17
201908040455,852,遵义,正安县,23289.80
201908040505,852,遵义,正安县,22810.93
201908040710,852,遵义,正安县,112953.81
201908041305,852,遵义,正安县,262109.41
201908041320,852,遵义,正安县,252968.02
201908041430,852,遵义,正安县,239236.31
201908041825,852,遵义,正安县,238677.64
201908042210,852,遵义,正安县,335194.86
201908042340,852,遵义,正安县,221003.61
