201907221720,859,黔西南,晴隆县,160106.10
201907221830,859,黔西南,晴隆县,165500.01
201907221845,859,黔西南,晴隆县,154781.31
201907230135,859,黔西南,晴隆县,63985.19
201907230230,859,黔西南,晴隆县,41883.82
201907230325,859,黔西南,晴隆县,26723.12
201907231015,859,黔西南,晴隆县,127170.62
201907231240,859,黔西南,晴隆县,176931.10
201907231515,859,黔西南,晴隆县,158724.75
201907231850,859,黔西南,晴隆县,170513.94
201907232150,859,黔西南,晴隆县,243209.97
201907241850,859,黔西南,晴隆县,172078.48
201907250820,859,黔西南,晴隆县,117653.70
201907251000,859,黔西南,晴隆县,141729.01
201907251115,859,黔西南,晴隆县,154367.34
201907251505,859,黔西南,晴隆县,167167.97
201907251555,859,黔西南,晴隆县,158986.09
201907252035,859,黔西南,晴隆县,190169.94
201907252155,859,黔西南,晴隆县,234312.74
201907260240,859,黔西南,晴隆县,43585.73
201907260750,859,黔西南,晴隆县,87380.41
201907261605,859,黔西南,晴隆县,158711.18
201907261615,859,黔西南,晴隆县,158077.09
201907261755,859,黔西南,晴隆县,152086.30
201907271105,859,黔西南,晴隆县,155072.68
201907271305,859,黔西南,晴隆县,181168.17
201907271315,859,黔西南,晴隆县,178975.20
201907272000,859,黔西南,晴隆县,181579.46
201907272055,859,黔西南,晴隆县,217564.18
201907272255,859,黔西南,晴隆县,230441.27
201907280335,859,黔西南,晴隆县,26823.99
201907280950,859,黔西南,晴隆县,127211.21
201907281810,859,黔西南,晴隆县,158748.96
201907281935,859,黔西南,晴隆县,161413.11
201907282000,859,黔西南,晴隆县,170046.91
201907282005,859,黔西南,晴隆县,174210.31
201907282015,859,黔西南,晴隆县,176201.11
201907282025,859,黔西南,晴隆县,184247.52
201907282040,859,黔西南,晴隆县,193916.36
201907282110,859,黔西南,晴隆县,222436.45
201907282305,859,黔西南,晴隆县,196815.14
201907291255,859,黔西南,晴隆县,175693.99
201907291530,859,黔西南,晴隆县,165158.66
201907291540,859,黔西南,晴隆县,170410.56
201907291630,859,黔西南,晴隆县,181177.73
201907291710,859,黔西南,晴隆县,176680.94
201907291815,859,黔西南,晴隆县,187147.87
201907292000,859,黔西南,晴隆县,215667.39
201907292115,859,黔西南,晴隆县,243255.52
201907300240,859,黔西南,晴隆县,40361.26
201907300430,859,黔西南,晴隆县,20863.08
201907300505,859,黔西南,晴隆县,17572.54
201907300910,859,黔西南,晴隆县,120074.63
201907301150,859,黔西南,晴隆县,166132.81
201907301640,859,黔西南,晴隆县,165832.98
201907301725,859,黔西南,晴隆县,154073.14
201907302000,859,黔西南,晴隆县,190990.38
201907302320,859,黔西南,晴隆县,164514.30
201907310015,859,黔西南,晴隆县,130488.37
201907310250,859,黔西南,晴隆县,28025.42
201907310920,859,黔西南,晴隆县,125255.12
201907311225,859,黔西南,晴隆县,169815.45
201907311315,859,黔西南,晴隆县,172153.53
201907311600,859,黔西南,晴隆县,162399.46
201907312110,859,黔西南,晴隆县,230944.76
201908011030,859,黔西南,晴隆县,165541.27
201908011245,859,黔西南,晴隆县,207681.01
201908011805,859,黔西南,晴隆县,180999.30
201908011825,859,黔西南,晴隆县,186747.21
201908011940,859,黔西南,晴隆县,189050.09
201908012015,859,黔西南,晴隆县,213622.10
201908012150,859,黔西南,晴隆县,278416.31
201908012205,859,黔西南,晴隆县,266261.67
201908012300,859,黔西南,晴隆县,246130.08
201908020150,859,黔西南,晴隆县,66890.51
201908020220,859,黔西南,晴隆县,51306.93
201908020735,859,黔西南,晴隆县,94030.52
201908021100,859,黔西南,晴隆县,166698.08
201908021115,859,黔西南,晴隆县,170067.24
201908021140,859,黔西南,晴隆县,167630.82
201908021225,859,黔西南,晴隆县,194148.60
201908021230,859,黔西南,晴隆县,190512.75
201908021330,859,黔西南,晴隆县,187740.29
201908021610,859,黔西南,晴隆县,173270.09
201908021740,859,黔西南,晴隆县,181691.86
201908021900,859,黔西南,晴隆县,184444.94
201908021905,859,黔西南,晴隆县,185606.97
201908022050,859,黔西南,晴隆县,248735.41
201908022140,859,黔西南,晴隆县,264674.26
201908030010,859,黔西南,晴隆县,144305.92
201908030320,859,黔西南,晴隆县,32971.02
201908030840,859,黔西南,晴隆县,129093.37
201908031335,859,黔西南,晴隆县,194755.27
201908031720,859,黔西南,晴隆县,184659.34
201908032330,859,黔西南,晴隆县,185528.96
201908040145,859,黔西南,晴隆县,65806.71
201908040455,859,黔西南,晴隆县,21048.28
201908040505,859,黔西南,晴隆县,21563.66
201908040710,859,黔西南,晴隆县,78916.96
201908041305,859,黔西南,晴隆县,176637.96
201908041320,859,黔西南,晴隆县,180761.82
201908041430,859,黔西南,晴隆县,181763.75
201908041825,859,黔西南,晴隆县,191009.33
201908042210,859,黔西南,晴隆县,256955.71
201908042340,859,黔西南,晴隆县,173129.04
201908042345,859,黔西南,晴隆县,168548.90
201908050105,859,黔西南,晴隆县,88288.52
201908050255,859,黔西南,晴隆县,35418.66
201908050420,859,黔西南,晴隆县,20989.17
201908050610,859,黔西南,晴隆县,28073.03
201908050650,859,黔西南,晴隆县,60744.66
201908050915,859,黔西南,晴隆县,144948.81
201908051450,859,黔西南,晴隆县,172300.84
201908051455,859,黔西南,晴隆县,172333.24
201908051550,859,黔西南,晴隆县,169715.82
201908051625,859,黔西南,晴隆县,170217.80
201908051915,859,黔西南,晴隆县,185002.62
201908052015,859,黔西南,晴隆县,215495.54
201908052145,859,黔西南,晴隆县,257080.03
201908052220,859,黔西南,晴隆县,249927.54
201908060145,859,黔西南,晴隆县,66824.34
201908060650,859,黔西南,晴隆县,57820.50
201908060735,859,黔西南,晴隆县,83343.06
201908060810,859,黔西南,晴隆县,103589.92
201908060945,859,黔西南,晴隆县,132103.40
201908061150,859,黔西南,晴隆县,157994.93
201908061420,859,黔西南,晴隆县,160300.20
201908061615,859,黔西南,晴隆县,165380.69
201908061850,859,黔西南,晴隆县,171440.70
201908062050,859,黔西南,晴隆县,243479.76
201908062345,859,黔西南,晴隆县,170567.29
201908070035,859,黔西南,晴隆县,121691.99
201908070630,859,黔西南,晴隆县,44181.59
201908070830,859,黔西南,晴隆县,114389.23
201908071100,859,黔西南,晴隆县,148464.49
201908071505,859,黔西南,晴隆县,172971.13
201908071645,859,黔西南,晴隆县,174239.45
201908072130,859,黔西南,晴隆县,251248.85
201908080000,859,黔西南,晴隆县,179558.80
201908081430,859,黔西南,晴隆县,179498.87
201908081725,859,黔西南,晴隆县,168255.90
201908081755,859,黔西南,晴隆县,162623.65
201908081800,859,黔西南,晴隆县,168153.39
201908081815,859,黔西南,晴隆县,162943.01
201908082040,859,黔西南,晴隆县,230830.36
201908090050,859,黔西南,晴隆县,114762.09
201908090820,859,黔西南,晴隆县,110862.66
201908091340,859,黔西南,晴隆县,191370.64
201910270000,859,黔西南,晴隆县,114312.06
201910270005,859,黔西南,晴隆县,107928.26
201910270010,859,黔西南,晴隆县,114122.09
201910270015,859,黔西南,晴隆县,111067.79
201910270020,859,黔西南,晴隆县,108040.13
201910270025,859,黔西南,晴隆县,106825.87
201910270030,859,黔西南,晴隆县,105550.14
201910270035,859,黔西南,晴隆县,92495.51
201910270040,859,黔西南,晴隆县,95175.18
201910270045,859,黔西南,晴隆县,91193.29
201910270050,859,黔西南,晴隆县,83029.34
201910270055,859,黔西南,晴隆县,80016.18
201910270100,859,黔西南,晴隆县,82476.95
201910270105,859,黔西南,晴隆县,74582.02
201910270110,859,黔西南,晴隆县,69663.72
201910270115,859,黔西南,晴隆县,68215.33
201910270120,859,黔西南,晴隆县,67967.94
201910270125,859,黔西南,晴隆县,62183.25
201910270130,859,黔西南,晴隆县,59969.75
201910270135,859,黔西南,晴隆县,59175.22
201910270140,859,黔西南,晴隆县,56010.94
201910270145,859,黔西南,晴隆县,51509.73
201910270150,859,黔西南,晴隆县,50440.66
201910270155,859,黔西南,晴隆县,49842.56
201910270200,859,黔西南,晴隆县,45839.09
201910270205,859,黔西南,晴隆县,44814.25
201910270210,859,黔西南,晴隆县,43109.99
201910270215,859,黔西南,晴隆县,46757.98
201910270220,859,黔西南,晴隆县,44152.78
201910270225,859,黔西南,晴隆县,39955.15
201910270230,859,黔西南,晴隆县,39885.54
201910270235,859,黔西南,晴隆县,38970.37
201910270240,859,黔西南,晴隆县,35340.90
201910270245,859,黔西南,晴隆县,34993.37
201910270250,859,黔西南,晴隆县,34257.69
201910270255,859,黔西南,晴隆县,33108.45
201910270300,859,黔西南,晴隆县,32341.20
201910270305,859,黔西南,晴隆县,32227.48
201910270310,859,黔西南,晴隆县,30124.66
201910270315,859,黔西南,晴隆县,31552.29
201910270320,859,黔西南,晴隆县,26980.51
201910270325,859,黔西南,晴隆县,28524.97
201910270330,859,黔西南,晴隆县,27017.97
201910270335,859,黔西南,晴隆县,26853.09
201910270340,859,黔西南,晴隆县,24468.04
201910270345,859,黔西南,晴隆县,26155.21
