201907221720,852,遵义,赤水市,58308.40
201907221830,852,遵义,赤水市,58621.83
201907221845,852,遵义,赤水市,56637.65
201907230135,852,遵义,赤水市,24136.59
201907230230,852,遵义,赤水市,15868.92
201907230325,852,遵义,赤水市,17261.21
201907231015,852,遵义,赤水市,45779.36
201907231240,852,遵义,赤水市,63272.30
201907231515,852,遵义,赤水市,52172.24
201907231850,852,遵义,赤水市,51990.58
201907232150,852,遵义,赤水市,73501.29
201907241850,852,遵义,赤水市,52969.87
201907250820,852,遵义,赤水市,44618.78
201907251000,852,遵义,赤水市,51478.73
201907251115,852,遵义,赤水市,56266.43
201907251505,852,遵义,赤水市,61289.99
201907251555,852,遵义,赤水市,62016.93
201907252035,852,遵义,赤水市,69743.88
201907252155,852,遵义,赤水市,77201.59
201907260240,852,遵义,赤水市,17447.45
201907260750,852,遵义,赤水市,33644.60
201907261605,852,遵义,赤水市,140695.08
201907261615,852,遵义,赤水市,146101.58
201907261755,852,遵义,赤水市,136050.15
201907271105,852,遵义,赤水市,142678.69
201907271305,852,遵义,赤水市,159478.39
201907271315,852,遵义,赤水市,155780.66
201907272000,852,遵义,赤水市,144063.54
201907272055,852,遵义,赤水市,171626.67
201907272255,852,遵义,赤水市,174061.06
201907280335,852,遵义,赤水市,23763.17
201907280950,852,遵义,赤水市,127888.98
201907281810,852,遵义,赤水市,138701.21
201907281935,852,遵义,赤水市,124252.40
201907282000,852,遵义,赤水市,135404.14
201907282005,852,遵义,赤水市,131460.91
201907282015,852,遵义,赤水市,135253.53
201907282025,852,遵义,赤水市,140428.97
201907282040,852,遵义,赤水市,145896.02
201907282110,852,遵义,赤水市,166733.95
201907282305,852,遵义,赤水市,145124.75
201907291255,852,遵义,赤水市,148787.24
201907291530,852,遵义,赤水市,104632.91
201907291540,852,遵义,赤水市,106781.26
201907291630,852,遵义,赤水市,116492.15
201907291710,852,遵义,赤水市,115766.60
201907291815,852,遵义,赤水市,127442.28
201907292000,852,遵义,赤水市,158040.68
201907292115,852,遵义,赤水市,170870.00
201907300240,852,遵义,赤水市,28554.94
201907300430,852,遵义,赤水市,15793.02
201907300505,852,遵义,赤水市,18170.74
201907300910,852,遵义,赤水市,100906.44
201907301150,852,遵义,赤水市,121961.21
201907301640,852,遵义,赤水市,126914.44
201907301725,852,遵义,赤水市,112419.99
201907302000,852,遵义,赤水市,116986.72
201907302320,852,遵义,赤水市,117540.74
201907310015,852,遵义,赤水市,91170.17
201907310250,852,遵义,赤水市,24257.90
201907310920,852,遵义,赤水市,104210.54
201907311225,852,遵义,赤水市,132788.55
201907311315,852,遵义,赤水市,138022.99
201907311600,852,遵义,赤水市,123616.36
201907312110,852,遵义,赤水市,150339.85
201908011030,852,遵义,赤水市,122249.82
201908011245,852,遵义,赤水市,155825.65
201908011805,852,遵义,赤水市,140877.33
201908011825,852,遵义,赤水市,132550.79
201908011940,852,遵义,赤水市,141208.06
201908012015,852,遵义,赤水市,151619.86
201908012150,852,遵义,赤水市,185371.08
201908012205,852,遵义,赤水市,190676.81
201908012300,852,遵义,赤水市,168610.10
201908020150,852,遵义,赤水市,47662.98
201908020220,852,遵义,赤水市,36174.65
201908020735,852,遵义,赤水市,70662.82
201908021100,852,遵义,赤水市,139967.70
201908021115,852,遵义,赤水市,132623.92
201908021140,852,遵义,赤水市,130660.07
201908021225,852,遵义,赤水市,141203.87
201908021230,852,遵义,赤水市,147222.43
201908021330,852,遵义,赤水市,143207.92
201908021610,852,遵义,赤水市,140596.41
201908021740,852,遵义,赤水市,128101.61
201908021900,852,遵义,赤水市,133392.28
201908021905,852,遵义,赤水市,130900.71
201908022050,852,遵义,赤水市,180577.46
201908022140,852,遵义,赤水市,196948.84
201908030010,852,遵义,赤水市,104411.83
